DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,FR,2020,34828670,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,FR,2021,34946473,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,FR,2022,35109077,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,FR,2023,35188809,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,FR,2024,35271283,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,FR,2020,32644981,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,FR,2021,32782095,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,FR,2022,32982626,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,FR,2023,33088401,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,FR,2024,33196079,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,FR,2020,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,FR,2021,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,FR,2022,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,FR,2023,0,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,F,FR,2024,0,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,M,FR,2020,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,M,FR,2021,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,M,FR,2022,0,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,M,FR,2023,0,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,UNK,M,FR,2024,0,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,F,FR,2020,349815,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,F,FR,2021,347675,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,F,FR,2022,340571,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,F,FR,2023,340994,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,F,FR,2024,332946,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,M,FR,2020,367944,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,M,FR,2021,365187,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,M,FR,2022,354510,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,M,FR,2023,356966,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y1,M,FR,2024,348295,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,F,FR,2020,412511,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,F,FR,2021,419935,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,F,FR,2022,411061,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,F,FR,2023,410251,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,F,FR,2024,405117,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y10,M,FR,2020,432788,,
