age,male,female
0,132833,309945
1,155004,361675
2,177285,413664
3,198768,463793
4,218494,509820
5,235530,549569
6,249056,581131
7,258450,603051
8,263354,614493
9,263717,615341
10,259814,606232
11,252223,588520
12,241783,564162
13,229520,535548
14,216559,505304
15,204034,476078
16,193001,450336
17,184367,430191
18,178837,417287
19,176880,412721
20,178725,417025
21,184366,430188
22,193588,451706
23,205999,480666
24,221069,515826
25,238162,555713
26,256583,598694
27,275600,643068
28,294482,687125
29,312520,729212
30,329051,767784
31,343483,801461
32,355308,829054
33,364125,849624
34,369648,862511
35,371726,867362
36,370351,864152
37,365663,853213
38,357956,835230
39,347679,811251
40,335430,782670
41,321945,751206
42,308084,718863
43,294801,687869
44,283112,660595
45,274046,639441
46,268587,626705
47,267606,624415
48,271783,634161
49,281531,656906
50,296926,692827
51,317652,741190
52,342979,800284
53,371765,867452
54,402517,939207
55,433481,1011457
56,454441,1060363
57,471122,1099285
58,482184,1125097
59,486734,1135713
60,484407,1130282
61,475392,1109249
62,460405,1074278
63,440592,1028049
64,417406,973947
65,392441,915694
66,367269,856962
67,343291,801014
68,321611,750425
69,302957,706900
70,287655,671194
71,275637,643152
72,266501,621836
73,259592,605713
74,254099,592897
75,249162,581378
76,243962,569243
77,237799,554863
78,230148,537013
79,220690,514943
80,209314,488399
81,196107,457584
82,181322,423084
83,165334,385778
84,148595,346723
85,131590,307044
86,114791,267845
87,98622,230118
88,83440,194693
89,69513,162197
90,57020,133046
91,46051,107451
92,36617,85440
93,28666,66886
94,22094,51551
95,16765,39117
96,12524,29222
97,9211,21491
98,6669,15561
99,4754,11093
100,3336,7785
