DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1975,18150004,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1976,18333864,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1977,18521877,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1978,18700859,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1979,18868438,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1980,19023427,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1981,19167940,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1982,19290450,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1983,19394758,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1984,19477810,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1985,19558571,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1986,19625071,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1987,19683096,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1988,19735868,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1989,19778621,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1990,19813442,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1991,19838598,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1992,19925307,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1993,20032645,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,1994,20130190,,
